unicode,gardiner,translit,english
X07E4,SYN-07E4,,
X07E5,SYN-07E5,,
X07E6,SYN-07E6,,
X07E7,SYN-07E7,,
X07E8,SYN-07E8,,
X07E9,SYN-07E9,,
X07EA,SYN-07EA,,
X07EB,SYN-07EB,,
X07EC,SYN-07EC,,
X07ED,SYN-07ED,,
X07EE,SYN-07EE,,
X07EF,SYN-07EF,,
X07F0,SYN-07F0,,
X07F1,SYN-07F1,,
X07F2,SYN-07F2,,
X07F3,SYN-07F3,,
X07F4,SYN-07F4,,
X07F5,SYN-07F5,,
X07F6,SYN-07F6,,
X07F7,SYN-07F7,,
X07F8,SYN-07F8,,
X07F9,SYN-07F9,,
X07FA,SYN-07FA,,
X07FB,SYN-07FB,,
X07FC,SYN-07FC,,
X07FD,SYN-07FD,,
X07FE,SYN-07FE,,
X07FF,SYN-07FF,,
X0800,SYN-0800,,
X0801,SYN-0801,,
X0802,SYN-0802,,
X0803,SYN-0803,,
X0804,SYN-0804,,
X0805,SYN-0805,,
X0806,SYN-0806,,
X0807,SYN-0807,,
X0808,SYN-0808,,
X0809,SYN-0809,,
X080A,SYN-080A,,
X080B,SYN-080B,,
X080C,SYN-080C,,
X080D,SYN-080D,,
X080E,SYN-080E,,
X080F,SYN-080F,,
X0810,SYN-0810,,
X0811,SYN-0811,,
X0812,SYN-0812,,
X0813,SYN-0813,,
X0814,SYN-0814,,
X0815,SYN-0815,,
X0816,SYN-0816,,
X0817,SYN-0817,,
X0818,SYN-0818,,
X0819,SYN-0819,,
X081A,SYN-081A,,
X081B,SYN-081B,,
X081C,SYN-081C,,
X081D,SYN-081D,,
X081E,SYN-081E,,
X081F,SYN-081F,,
X0820,SYN-0820,,
X0821,SYN-0821,,
X0822,SYN-0822,,
X0823,SYN-0823,,
X0824,SYN-0824,,
X0825,SYN-0825,,
X0826,SYN-0826,,
X0827,SYN-0827,,
X0828,SYN-0828,,
X0829,SYN-0829,,
X082A,SYN-082A,,
X082B,SYN-082B,,
X082C,SYN-082C,,
X082D,SYN-082D,,
X082E,SYN-082E,,
X082F,SYN-082F,,
X0830,SYN-0830,,
X0831,SYN-0831,,
X0832,SYN-0832,,
X0833,SYN-0833,,
X0834,SYN-0834,,
X0835,SYN-0835,,
X0836,SYN-0836,,
X0837,SYN-0837,,
X0838,SYN-0838,,
X0839,SYN-0839,,
X083A,SYN-083A,,
X083B,SYN-083B,,
X083C,SYN-083C,,
X083D,SYN-083D,,
X083E,SYN-083E,,
X083F,SYN-083F,,
X0840,SYN-0840,,
X0841,SYN-0841,,
X0842,SYN-0842,,
X0843,SYN-0843,,
X0844,SYN-0844,,
X0845,SYN-0845,,
X0846,SYN-0846,,
X0847,SYN-0847,,
X0848,SYN-0848,,
X0849,SYN-0849,,
X084A,SYN-084A,,
X084B,SYN-084B,,
X084C,SYN-084C,,
X084D,SYN-084D,,
X084E,SYN-084E,,
X084F,SYN-084F,,
X0850,SYN-0850,,
X0851,SYN-0851,,
X0852,SYN-0852,,
X0853,SYN-0853,,
X0854,SYN-0854,,
X0855,SYN-0855,,
X0856,SYN-0856,,
X0857,SYN-0857,,
X0858,SYN-0858,,
X0859,SYN-0859,,
X085A,SYN-085A,,
X085B,SYN-085B,,
X085C,SYN-085C,,
X085D,SYN-085D,,
X085E,SYN-085E,,
X085F,SYN-085F,,
X0860,SYN-0860,,
X0861,SYN-0861,,
X0862,SYN-0862,,
X0863,SYN-0863,,
X0864,SYN-0864,,
X0865,SYN-0865,,
X0866,SYN-0866,,
X0867,SYN-0867,,
X0868,SYN-0868,,
X0869,SYN-0869,,
X086A,SYN-086A,,
X086B,SYN-086B,,
X086C,SYN-086C,,
X086D,SYN-086D,,
X086E,SYN-086E,,
X086F,SYN-086F,,
X0870,SYN-0870,,
X0871,SYN-0871,,
X0872,SYN-0872,,
X0873,SYN-0873,,
X0874,SYN-0874,,
X0875,SYN-0875,,
X0876,SYN-0876,,
X0877,SYN-0877,,
X0878,SYN-0878,,
X0879,SYN-0879,,
X087A,SYN-087A,,
X087B,SYN-087B,,
X087C,SYN-087C,,
X087D,SYN-087D,,
X087E,SYN-087E,,
X087F,SYN-087F,,
X0880,SYN-0880,,
X0881,SYN-0881,,
X0882,SYN-0882,,
X0883,SYN-0883,,
X0884,SYN-0884,,
X0885,SYN-0885,,
X0886,SYN-0886,,
X0887,SYN-0887,,
X0888,SYN-0888,,
X0889,SYN-0889,,
X088A,SYN-088A,,
X088B,SYN-088B,,
X088C,SYN-088C,,
X088D,SYN-088D,,
X088E,SYN-088E,,
X088F,SYN-088F,,
X0890,SYN-0890,,
X0891,SYN-0891,,
X0892,SYN-0892,,
X0893,SYN-0893,,
X0894,SYN-0894,,
X0895,SYN-0895,,
X0896,SYN-0896,,
X0897,SYN-0897,,
X0898,SYN-0898,,
X0899,SYN-0899,,
X089A,SYN-089A,,
X089B,SYN-089B,,
X089C,SYN-089C,,
X089D,SYN-089D,,
X089E,SYN-089E,,
X089F,SYN-089F,,
X08A0,SYN-08A0,,
X08A1,SYN-08A1,,
X08A2,SYN-08A2,,
X08A3,SYN-08A3,,
X08A4,SYN-08A4,,
X08A5,SYN-08A5,,
X08A6,SYN-08A6,,
X08A7,SYN-08A7,,
X08A8,SYN-08A8,,
X08A9,SYN-08A9,,
X08AA,SYN-08AA,,
X08AB,SYN-08AB,,
X08AC,SYN-08AC,,
X08AD,SYN-08AD,,
X08AE,SYN-08AE,,
X08AF,SYN-08AF,,
X08B0,SYN-08B0,,
X08B1,SYN-08B1,,
X08B2,SYN-08B2,,
X08B3,SYN-08B3,,
X08B4,SYN-08B4,,
X08B5,SYN-08B5,,
X08B6,SYN-08B6,,
X08B7,SYN-08B7,,
X08B8,SYN-08B8,,
X08B9,SYN-08B9,,
X08BA,SYN-08BA,,
X08BB,SYN-08BB,,
X08BC,SYN-08BC,,
X08BD,SYN-08BD,,
X08BE,SYN-08BE,,
X08BF,SYN-08BF,,
X08C0,SYN-08C0,,
X08C1,SYN-08C1,,
X08C2,SYN-08C2,,
X08C3,SYN-08C3,,
X08C4,SYN-08C4,,
X08C5,SYN-08C5,,
X08C6,SYN-08C6,,
X08C7,SYN-08C7,,
X08C8,SYN-08C8,,
X08C9,SYN-08C9,,
X08CA,SYN-08CA,,
X08CB,SYN-08CB,,
X08CC,SYN-08CC,,
X08CD,SYN-08CD,,
X08CE,SYN-08CE,,
X08CF,SYN-08CF,,
X08D0,SYN-08D0,,
X08D1,SYN-08D1,,
X08D2,SYN-08D2,,
X08D3,SYN-08D3,,
X08D4,SYN-08D4,,
X08D5,SYN-08D5,,
X08D6,SYN-08D6,,
X08D7,SYN-08D7,,
X08D8,SYN-08D8,,
X08D9,SYN-08D9,,
X08DA,SYN-08DA,,
X08DB,SYN-08DB,,
X08DC,SYN-08DC,,
X08DD,SYN-08DD,,
X08DE,SYN-08DE,,
X08DF,SYN-08DF,,
X08E0,SYN-08E0,,
X08E1,SYN-08E1,,
X08E2,SYN-08E2,,
X08E3,SYN-08E3,,
X08E4,SYN-08E4,,
X08E5,SYN-08E5,,
X08E6,SYN-08E6,,
X08E7,SYN-08E7,,
X08E8,SYN-08E8,,
X08E9,SYN-08E9,,
X08EA,SYN-08EA,,
X08EB,SYN-08EB,,
X08EC,SYN-08EC,,
X08ED,SYN-08ED,,
X08EE,SYN-08EE,,
X08EF,SYN-08EF,,
X08F0,SYN-08F0,,
X08F1,SYN-08F1,,
X08F2,SYN-08F2,,
X08F3,SYN-08F3,,
X08F4,SYN-08F4,,
X08F5,SYN-08F5,,
X08F6,SYN-08F6,,
X08F7,SYN-08F7,,
X08F8,SYN-08F8,,
X08F9,SYN-08F9,,
X08FA,SYN-08FA,,
X08FB,SYN-08FB,,
X08FC,SYN-08FC,,
X08FD,SYN-08FD,,
X08FE,SYN-08FE,,
X08FF,SYN-08FF,,
X0900,SYN-0900,,
X0901,SYN-0901,,
X0902,SYN-0902,,
X0903,SYN-0903,,
X0904,SYN-0904,,
X0905,SYN-0905,,
X0906,SYN-0906,,
X0907,SYN-0907,,
X0908,SYN-0908,,
X0909,SYN-0909,,
X090A,SYN-090A,,
X090B,SYN-090B,,
X090C,SYN-090C,,
X090D,SYN-090D,,
X090E,SYN-090E,,
X090F,SYN-090F,,
X0910,SYN-0910,,
X0911,SYN-0911,,
X0912,SYN-0912,,
X0913,SYN-0913,,
X0914,SYN-0914,,
X0915,SYN-0915,,
X0916,SYN-0916,,
X0917,SYN-0917,,
X0918,SYN-0918,,
X0919,SYN-0919,,
X091A,SYN-091A,,
X091B,SYN-091B,,
X091C,SYN-091C,,
X091D,SYN-091D,,
X091E,SYN-091E,,
X091F,SYN-091F,,
X0920,SYN-0920,,
X0921,SYN-0921,,
X0922,SYN-0922,,
X0923,SYN-0923,,
X0924,SYN-0924,,
X0925,SYN-0925,,
X0926,SYN-0926,,
X0927,SYN-0927,,
X0928,SYN-0928,,
X0929,SYN-0929,,
X092A,SYN-092A,,
X092B,SYN-092B,,
X092C,SYN-092C,,
X092D,SYN-092D,,
X092E,SYN-092E,,
X092F,SYN-092F,,
X0930,SYN-0930,,
X0931,SYN-0931,,
X0932,SYN-0932,,
X0933,SYN-0933,,
X0934,SYN-0934,,
X0935,SYN-0935,,
X0936,SYN-0936,,
X0937,SYN-0937,,
X0938,SYN-0938,,
X0939,SYN-0939,,
X093A,SYN-093A,,
X093B,SYN-093B,,
X093C,SYN-093C,,
X093D,SYN-093D,,
X093E,SYN-093E,,
X093F,SYN-093F,,
X0940,SYN-0940,,
X0941,SYN-0941,,
X0942,SYN-0942,,
X0943,SYN-0943,,
X0944,SYN-0944,,
X0945,SYN-0945,,
X0946,SYN-0946,,
X0947,SYN-0947,,
X0948,SYN-0948,,
X0949,SYN-0949,,
X094A,SYN-094A,,
X094B,SYN-094B,,
X094C,SYN-094C,,
X094D,SYN-094D,,
X094E,SYN-094E,,
X094F,SYN-094F,,
X0950,SYN-0950,,
X0951,SYN-0951,,
X0952,SYN-0952,,
X0953,SYN-0953,,
X0954,SYN-0954,,
X0955,SYN-0955,,
X0956,SYN-0956,,
X0957,SYN-0957,,
X0958,SYN-0958,,
X0959,SYN-0959,,
X095A,SYN-095A,,
X095B,SYN-095B,,
X095C,SYN-095C,,
X095D,SYN-095D,,
X095E,SYN-095E,,
X095F,SYN-095F,,
X0960,SYN-0960,,
X0961,SYN-0961,,
X0962,SYN-0962,,
X0963,SYN-0963,,
X0964,SYN-0964,,
X0965,SYN-0965,,
X0966,SYN-0966,,
X0967,SYN-0967,,
X0968,SYN-0968,,
X0969,SYN-0969,,
X096A,SYN-096A,,
X096B,SYN-096B,,
X096C,SYN-096C,,
X096D,SYN-096D,,
X096E,SYN-096E,,
X096F,SYN-096F,,
X0970,SYN-0970,,
X0971,SYN-0971,,
X0972,SYN-0972,,
X0973,SYN-0973,,
X0974,SYN-0974,,
X0975,SYN-0975,,
X0976,SYN-0976,,
X0977,SYN-0977,,
X0978,SYN-0978,,
X0979,SYN-0979,,
X097A,SYN-097A,,
X097B,SYN-097B,,
X097C,SYN-097C,,
X097D,SYN-097D,,
X097E,SYN-097E,,
X097F,SYN-097F,,
X0980,SYN-0980,,
X0981,SYN-0981,,
X0982,SYN-0982,,
X0983,SYN-0983,,
X0984,SYN-0984,,
X0985,SYN-0985,,
X0986,SYN-0986,,
X0987,SYN-0987,,
X0988,SYN-0988,,
X0989,SYN-0989,,
X098A,SYN-098A,,
X098B,SYN-098B,,
X098C,SYN-098C,,
X098D,SYN-098D,,
X098E,SYN-098E,,
X098F,SYN-098F,,
X0990,SYN-0990,,
X0991,SYN-0991,,
X0992,SYN-0992,,
X0993,SYN-0993,,
X0994,SYN-0994,,
X0995,SYN-0995,,
X0996,SYN-0996,,
X0997,SYN-0997,,
X0998,SYN-0998,,
X0999,SYN-0999,,
X099A,SYN-099A,,
X099B,SYN-099B,,
X099C,SYN-099C,,
X099D,SYN-099D,,
X099E,SYN-099E,,
X099F,SYN-099F,,
X09A0,SYN-09A0,,
X09A1,SYN-09A1,,
X09A2,SYN-09A2,,
X09A3,SYN-09A3,,
X09A4,SYN-09A4,,
X09A5,SYN-09A5,,
X09A6,SYN-09A6,,
X09A7,SYN-09A7,,
X09A8,SYN-09A8,,
X09A9,SYN-09A9,,
X09AA,SYN-09AA,,
X09AB,SYN-09AB,,
X09AC,SYN-09AC,,
X09AD,SYN-09AD,,
X09AE,SYN-09AE,,
X09AF,SYN-09AF,,
X09B0,SYN-09B0,,
X09B1,SYN-09B1,,
X09B2,SYN-09B2,,
X09B3,SYN-09B3,,
X09B4,SYN-09B4,,
X09B5,SYN-09B5,,
X09B6,SYN-09B6,,
X09B7,SYN-09B7,,
X09B8,SYN-09B8,,
X09B9,SYN-09B9,,
X09BA,SYN-09BA,,
X09BB,SYN-09BB,,
X09BC,SYN-09BC,,
X09BD,SYN-09BD,,
X09BE,SYN-09BE,,
X09BF,SYN-09BF,,
X09C0,SYN-09C0,,
X09C1,SYN-09C1,,
X09C2,SYN-09C2,,
X09C3,SYN-09C3,,
X09C4,SYN-09C4,,
X09C5,SYN-09C5,,
X09C6,SYN-09C6,,
X09C7,SYN-09C7,,
X09C8,SYN-09C8,,
X09C9,SYN-09C9,,
X09CA,SYN-09CA,,
X09CB,SYN-09CB,,
X09CC,SYN-09CC,,
X09CD,SYN-09CD,,
X09CE,SYN-09CE,,
X09CF,SYN-09CF,,
X09D0,SYN-09D0,,
X09D1,SYN-09D1,,
X09D2,SYN-09D2,,
X09D3,SYN-09D3,,
X09D4,SYN-09D4,,
X09D5,SYN-09D5,,
X09D6,SYN-09D6,,
X09D7,SYN-09D7,,
X09D8,SYN-09D8,,
X09D9,SYN-09D9,,
X09DA,SYN-09DA,,
X09DB,SYN-09DB,,
X09DC,SYN-09DC,,
X09DD,SYN-09DD,,
X09DE,SYN-09DE,,
X09DF,SYN-09DF,,
X09E0,SYN-09E0,,
X09E1,SYN-09E1,,
X09E2,SYN-09E2,,
X09E3,SYN-09E3,,
X09E4,SYN-09E4,,
X09E5,SYN-09E5,,
X09E6,SYN-09E6,,
X09E7,SYN-09E7,,
X09E8,SYN-09E8,,
X09E9,SYN-09E9,,
X09EA,SYN-09EA,,
X09EB,SYN-09EB,,
X09EC,SYN-09EC,,
X09ED,SYN-09ED,,
X09EE,SYN-09EE,,
X09EF,SYN-09EF,,
X09F0,SYN-09F0,,
X09F1,SYN-09F1,,
X09F2,SYN-09F2,,
X09F3,SYN-09F3,,
X09F4,SYN-09F4,,
X09F5,SYN-09F5,,
X09F6,SYN-09F6,,
X09F7,SYN-09F7,,
X09F8,SYN-09F8,,
X09F9,SYN-09F9,,
X09FA,SYN-09FA,,
X09FB,SYN-09FB,,
X09FC,SYN-09FC,,
X09FD,SYN-09FD,,
X09FE,SYN-09FE,,
X09FF,SYN-09FF,,
X0A00,SYN-0A00,,
X0A01,SYN-0A01,,
X0A02,SYN-0A02,,
X0A03,SYN-0A03,,
X0A04,SYN-0A04,,
X0A05,SYN-0A05,,
X0A06,SYN-0A06,,
X0A07,SYN-0A07,,
X0A08,SYN-0A08,,
X0A09,SYN-0A09,,
X0A0A,SYN-0A0A,,
X0A0B,SYN-0A0B,,
X0A0C,SYN-0A0C,,
X0A0D,SYN-0A0D,,
X0A0E,SYN-0A0E,,
X0A0F,SYN-0A0F,,
X0A10,SYN-0A10,,
X0A11,SYN-0A11,,
X0A12,SYN-0A12,,
X0A13,SYN-0A13,,
X0A14,SYN-0A14,,
X0A15,SYN-0A15,,
X0A16,SYN-0A16,,
X0A17,SYN-0A17,,
X0A18,SYN-0A18,,
X0A19,SYN-0A19,,
X0A1A,SYN-0A1A,,
X0A1B,SYN-0A1B,,
X0A1C,SYN-0A1C,,
X0A1D,SYN-0A1D,,
X0A1E,SYN-0A1E,,
X0A1F,SYN-0A1F,,
X0A20,SYN-0A20,,
X0A21,SYN-0A21,,
X0A22,SYN-0A22,,
X0A23,SYN-0A23,,
X0A24,SYN-0A24,,
X0A25,SYN-0A25,,
X0A26,SYN-0A26,,
X0A27,SYN-0A27,,
X0A28,SYN-0A28,,
X0A29,SYN-0A29,,
X0A2A,SYN-0A2A,,
X0A2B,SYN-0A2B,,
X0A2C,SYN-0A2C,,
X0A2D,SYN-0A2D,,
X0A2E,SYN-0A2E,,
X0A2F,SYN-0A2F,,
X0A30,SYN-0A30,,
X0A31,SYN-0A31,,
X0A32,SYN-0A32,,
X0A33,SYN-0A33,,
X0A34,SYN-0A34,,
X0A35,SYN-0A35,,
X0A36,SYN-0A36,,
X0A37,SYN-0A37,,
X0A38,SYN-0A38,,
X0A39,SYN-0A39,,
X0A3A,SYN-0A3A,,
X0A3B,SYN-0A3B,,
X0A3C,SYN-0A3C,,
X0A3D,SYN-0A3D,,
X0A3E,SYN-0A3E,,
X0A3F,SYN-0A3F,,
X0A40,SYN-0A40,,
X0A41,SYN-0A41,,
X0A42,SYN-0A42,,
X0A43,SYN-0A43,,
X0A44,SYN-0A44,,
X0A45,SYN-0A45,,
X0A46,SYN-0A46,,
X0A47,SYN-0A47,,
X0A48,SYN-0A48,,
X0A49,SYN-0A49,,
X0A4A,SYN-0A4A,,
X0A4B,SYN-0A4B,,
X0A4C,SYN-0A4C,,
X0A4D,SYN-0A4D,,
X0A4E,SYN-0A4E,,
X0A4F,SYN-0A4F,,
X0A50,SYN-0A50,,
X0A51,SYN-0A51,,
X0A52,SYN-0A52,,
X0A53,SYN-0A53,,
X0A54,SYN-0A54,,
X0A55,SYN-0A55,,
X0A56,SYN-0A56,,
X0A57,SYN-0A57,,
X0A58,SYN-0A58,,
X0A59,SYN-0A59,,
X0A5A,SYN-0A5A,,
X0A5B,SYN-0A5B,,
X0A5C,SYN-0A5C,,
X0A5D,SYN-0A5D,,
X0A5E,SYN-0A5E,,
X0A5F,SYN-0A5F,,
X0A60,SYN-0A60,,
X0A61,SYN-0A61,,
X0A62,SYN-0A62,,
X0A63,SYN-0A63,,
X0A64,SYN-0A64,,
X0A65,SYN-0A65,,
X0A66,SYN-0A66,,
X0A67,SYN-0A67,,
X0A68,SYN-0A68,,
X0A69,SYN-0A69,,
X0A6A,SYN-0A6A,,
X0A6B,SYN-0A6B,,
X0A6C,SYN-0A6C,,
X0A6D,SYN-0A6D,,
X0A6E,SYN-0A6E,,
X0A6F,SYN-0A6F,,
X0A70,SYN-0A70,,
X0A71,SYN-0A71,,
X0A72,SYN-0A72,,
X0A73,SYN-0A73,,
X0A74,SYN-0A74,,
X0A75,SYN-0A75,,
X0A76,SYN-0A76,,
X0A77,SYN-0A77,,
X0A78,SYN-0A78,,
X0A79,SYN-0A79,,
X0A7A,SYN-0A7A,,
X0A7B,SYN-0A7B,,
X0A7C,SYN-0A7C,,
X0A7D,SYN-0A7D,,
X0A7E,SYN-0A7E,,
X0A7F,SYN-0A7F,,
X0A80,SYN-0A80,,
X0A81,SYN-0A81,,
X0A82,SYN-0A82,,
X0A83,SYN-0A83,,
X0A84,SYN-0A84,,
X0A85,SYN-0A85,,
X0A86,SYN-0A86,,
X0A87,SYN-0A87,,
X0A88,SYN-0A88,,
X0A89,SYN-0A89,,
X0A8A,SYN-0A8A,,
X0A8B,SYN-0A8B,,
X0A8C,SYN-0A8C,,
X0A8D,SYN-0A8D,,
X0A8E,SYN-0A8E,,
X0A8F,SYN-0A8F,,
X0A90,SYN-0A90,,
X0A91,SYN-0A91,,
X0A92,SYN-0A92,,
X0A93,SYN-0A93,,
X0A94,SYN-0A94,,
X0A95,SYN-0A95,,
X0A96,SYN-0A96,,
X0A97,SYN-0A97,,
X0A98,SYN-0A98,,
X0A99,SYN-0A99,,
X0A9A,SYN-0A9A,,
X0A9B,SYN-0A9B,,
X0A9C,SYN-0A9C,,
X0A9D,SYN-0A9D,,
X0A9E,SYN-0A9E,,
X0A9F,SYN-0A9F,,
X0AA0,SYN-0AA0,,
X0AA1,SYN-0AA1,,
X0AA2,SYN-0AA2,,
X0AA3,SYN-0AA3,,
X0AA4,SYN-0AA4,,
X0AA5,SYN-0AA5,,
X0AA6,SYN-0AA6,,
X0AA7,SYN-0AA7,,
X0AA8,SYN-0AA8,,
X0AA9,SYN-0AA9,,
X0AAA,SYN-0AAA,,
X0AAB,SYN-0AAB,,
X0AAC,SYN-0AAC,,
X0AAD,SYN-0AAD,,
X0AAE,SYN-0AAE,,
X0AAF,SYN-0AAF,,
X0AB0,SYN-0AB0,,
X0AB1,SYN-0AB1,,
X0AB2,SYN-0AB2,,
X0AB3,SYN-0AB3,,
X0AB4,SYN-0AB4,,
X0AB5,SYN-0AB5,,
X0AB6,SYN-0AB6,,
X0AB7,SYN-0AB7,,
X0AB8,SYN-0AB8,,
X0AB9,SYN-0AB9,,
X0ABA,SYN-0ABA,,
X0ABB,SYN-0ABB,,
X0ABC,SYN-0ABC,,
X0ABD,SYN-0ABD,,
X0ABE,SYN-0ABE,,
X0ABF,SYN-0ABF,,
X0AC0,SYN-0AC0,,
X0AC1,SYN-0AC1,,
X0AC2,SYN-0AC2,,
X0AC3,SYN-0AC3,,
X0AC4,SYN-0AC4,,
X0AC5,SYN-0AC5,,
X0AC6,SYN-0AC6,,
X0AC7,SYN-0AC7,,
X0AC8,SYN-0AC8,,
X0AC9,SYN-0AC9,,
X0ACA,SYN-0ACA,,
X0ACB,SYN-0ACB,,
X0ACC,SYN-0ACC,,
X0ACD,SYN-0ACD,,
X0ACE,SYN-0ACE,,
X0ACF,SYN-0ACF,,
X0AD0,SYN-0AD0,,
X0AD1,SYN-0AD1,,
X0AD2,SYN-0AD2,,
X0AD3,SYN-0AD3,,
X0AD4,SYN-0AD4,,
X0AD5,SYN-0AD5,,
X0AD6,SYN-0AD6,,
X0AD7,SYN-0AD7,,
X0AD8,SYN-0AD8,,
X0AD9,SYN-0AD9,,
X0ADA,SYN-0ADA,,
X0ADB,SYN-0ADB,,
X0ADC,SYN-0ADC,,
X0ADD,SYN-0ADD,,
X0ADE,SYN-0ADE,,
X0ADF,SYN-0ADF,,
X0AE0,SYN-0AE0,,
X0AE1,SYN-0AE1,,
X0AE2,SYN-0AE2,,
X0AE3,SYN-0AE3,,
X0AE4,SYN-0AE4,,
X0AE5,SYN-0AE5,,
X0AE6,SYN-0AE6,,
X0AE7,SYN-0AE7,,
X0AE8,SYN-0AE8,,
X0AE9,SYN-0AE9,,
X0AEA,SYN-0AEA,,
X0AEB,SYN-0AEB,,
X0AEC,SYN-0AEC,,
X0AED,SYN-0AED,,
X0AEE,SYN-0AEE,,
X0AEF,SYN-0AEF,,
X0AF0,SYN-0AF0,,
X0AF1,SYN-0AF1,,
X0AF2,SYN-0AF2,,
X0AF3,SYN-0AF3,,
X0AF4,SYN-0AF4,,
X0AF5,SYN-0AF5,,
X0AF6,SYN-0AF6,,
X0AF7,SYN-0AF7,,
X0AF8,SYN-0AF8,,
X0AF9,SYN-0AF9,,
X0AFA,SYN-0AFA,,
X0AFB,SYN-0AFB,,
X0AFC,SYN-0AFC,,
X0AFD,SYN-0AFD,,
X0AFE,SYN-0AFE,,
X0AFF,SYN-0AFF,,
X0B00,SYN-0B00,,
X0B01,SYN-0B01,,
X0B02,SYN-0B02,,
X0B03,SYN-0B03,,
X0B04,SYN-0B04,,
X0B05,SYN-0B05,,
X0B06,SYN-0B06,,
X0B07,SYN-0B07,,
X0B08,SYN-0B08,,
X0B09,SYN-0B09,,
X0B0A,SYN-0B0A,,
X0B0B,SYN-0B0B,,
X0B0C,SYN-0B0C,,
X0B0D,SYN-0B0D,,
X0B0E,SYN-0B0E,,
X0B0F,SYN-0B0F,,
X0B10,SYN-0B10,,
X0B11,SYN-0B11,,
X0B12,SYN-0B12,,
X0B13,SYN-0B13,,
X0B14,SYN-0B14,,
X0B15,SYN-0B15,,
X0B16,SYN-0B16,,
X0B17,SYN-0B17,,
X0B18,SYN-0B18,,
X0B19,SYN-0B19,,
X0B1A,SYN-0B1A,,
X0B1B,SYN-0B1B,,
X0B1C,SYN-0B1C,,
X0B1D,SYN-0B1D,,
X0B1E,SYN-0B1E,,
X0B1F,SYN-0B1F,,
X0B20,SYN-0B20,,
X0B21,SYN-0B21,,
X0B22,SYN-0B22,,
X0B23,SYN-0B23,,
X0B24,SYN-0B24,,
X0B25,SYN-0B25,,
X0B26,SYN-0B26,,
X0B27,SYN-0B27,,
X0B28,SYN-0B28,,
X0B29,SYN-0B29,,
X0B2A,SYN-0B2A,,
X0B2B,SYN-0B2B,,
X0B2C,SYN-0B2C,,
X0B2D,SYN-0B2D,,
X0B2E,SYN-0B2E,,
X0B2F,SYN-0B2F,,
X0B30,SYN-0B30,,
X0B31,SYN-0B31,,
X0B32,SYN-0B32,,
X0B33,SYN-0B33,,
X0B34,SYN-0B34,,
X0B35,SYN-0B35,,
X0B36,SYN-0B36,,
X0B37,SYN-0B37,,
X0B38,SYN-0B38,,
X0B39,SYN-0B39,,
X0B3A,SYN-0B3A,,
X0B3B,SYN-0B3B,,
X0B3C,SYN-0B3C,,
X0B3D,SYN-0B3D,,
X0B3E,SYN-0B3E,,
X0B3F,SYN-0B3F,,
X0B40,SYN-0B40,,
X0B41,SYN-0B41,,
X0B42,SYN-0B42,,
X0B43,SYN-0B43,,
X0B44,SYN-0B44,,
X0B45,SYN-0B45,,
X0B46,SYN-0B46,,
X0B47,SYN-0B47,,
X0B48,SYN-0B48,,
X0B49,SYN-0B49,,
X0B4A,SYN-0B4A,,
X0B4B,SYN-0B4B,,
X0B4C,SYN-0B4C,,
X0B4D,SYN-0B4D,,
X0B4E,SYN-0B4E,,
X0B4F,SYN-0B4F,,
X0B50,SYN-0B50,,
X0B51,SYN-0B51,,
X0B52,SYN-0B52,,
X0B53,SYN-0B53,,
X0B54,SYN-0B54,,
X0B55,SYN-0B55,,
X0B56,SYN-0B56,,
X0B57,SYN-0B57,,
X0B58,SYN-0B58,,
X0B59,SYN-0B59,,
X0B5A,SYN-0B5A,,
X0B5B,SYN-0B5B,,
X0B5C,SYN-0B5C,,
X0B5D,SYN-0B5D,,
X0B5E,SYN-0B5E,,
X0B5F,SYN-0B5F,,
X0B60,SYN-0B60,,
X0B61,SYN-0B61,,
X0B62,SYN-0B62,,
X0B63,SYN-0B63,,
X0B64,SYN-0B64,,
X0B65,SYN-0B65,,
X0B66,SYN-0B66,,
X0B67,SYN-0B67,,
X0B68,SYN-0B68,,
X0B69,SYN-0B69,,
X0B6A,SYN-0B6A,,
X0B6B,SYN-0B6B,,
X0B6C,SYN-0B6C,,
X0B6D,SYN-0B6D,,
X0B6E,SYN-0B6E,,
X0B6F,SYN-0B6F,,
X0B70,SYN-0B70,,
X0B71,SYN-0B71,,
X0B72,SYN-0B72,,
X0B73,SYN-0B73,,
X0B74,SYN-0B74,,
X0B75,SYN-0B75,,
X0B76,SYN-0B76,,
X0B77,SYN-0B77,,
X0B78,SYN-0B78,,
X0B79,SYN-0B79,,
X0B7A,SYN-0B7A,,
X0B7B,SYN-0B7B,,
X0B7C,SYN-0B7C,,
X0B7D,SYN-0B7D,,
X0B7E,SYN-0B7E,,
X0B7F,SYN-0B7F,,
X0B80,SYN-0B80,,
X0B81,SYN-0B81,,
X0B82,SYN-0B82,,
X0B83,SYN-0B83,,
X0B84,SYN-0B84,,
X0B85,SYN-0B85,,
X0B86,SYN-0B86,,
X0B87,SYN-0B87,,
X0B88,SYN-0B88,,
X0B89,SYN-0B89,,
X0B8A,SYN-0B8A,,
X0B8B,SYN-0B8B,,
X0B8C,SYN-0B8C,,
X0B8D,SYN-0B8D,,
X0B8E,SYN-0B8E,,
X0B8F,SYN-0B8F,,
X0B90,SYN-0B90,,
X0B91,SYN-0B91,,
X0B92,SYN-0B92,,
X0B93,SYN-0B93,,
X0B94,SYN-0B94,,
X0B95,SYN-0B95,,
X0B96,SYN-0B96,,
